,price,origin_id,destination_id,outbound_date,inbound_date,currency,origin_city_name,origin_country_name,destination_city_name,destination_country_name,direct,carrier_name,carrier_id,skyscanner_code,date_collected
108,149.0,PMI,LON,2017-05-21T00:00:00,2017-05-21T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
109,49.0,PMI,LON,2017-05-21T00:00:00,2017-05-21T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
110,65.0,PMI,LON,2017-05-22T00:00:00,2017-05-22T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
111,95.0,PMI,LON,2017-05-22T00:00:00,2017-05-22T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
112,188.0,PMI,LON,2017-05-22T00:00:00,2017-05-22T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
113,30.0,PMI,LON,2017-05-22T00:00:00,2017-05-22T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
114,92.0,PMI,LON,2017-05-22T00:00:00,2017-05-22T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
115,44.0,PMI,LON,2017-05-22T00:00:00,2017-05-22T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
116,96.0,PMI,LON,2017-05-23T00:00:00,2017-05-23T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
117,22.0,PMI,LON,2017-05-23T00:00:00,2017-05-23T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
118,18.0,PMI,LON,2017-05-23T00:00:00,2017-05-23T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
119,114.0,PMI,LON,2017-05-23T00:00:00,2017-05-23T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
120,55.0,PMI,LON,2017-05-23T00:00:00,2017-05-23T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
121,49.0,PMI,LON,2017-05-24T00:00:00,2017-05-24T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
122,82.0,PMI,LON,2017-05-24T00:00:00,2017-05-24T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
123,18.0,PMI,LON,2017-05-24T00:00:00,2017-05-24T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
